level,file,issue,metric,n
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PVEM,117
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,MC,117
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,NUM_VOTOS_NULOS,117
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,MC,117
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_NULOS,116
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN,116
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,NUM_VOTOS_NULOS,116
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PAN_PRI_PRD,113
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRD,112
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PVEM_PT_MORENA,111
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI_PRD,104
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,missing_in_warehouse,PT_MORENA,103
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,missing_in_warehouse,PVEM_MORENA,103
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,missing_in_warehouse,PVEM_PT,103
